33,43,53,7102,7112,7122,7132,7142,7151,7161,7171,7181,7191,7202,7211,7222,7232,7241,7251,7261,7271,7281,7292,7302,7312,7322,7331,7341,7401,7411,7421,7431,7441,82
32,42,52,7102,7112,7121,7131,7141,7151,7161,7171,7181,7191,7201,7211,7222,7231,7241,7251,7261,7271,7281,7291,7301,7311,7321,7331,7341,7402,7412,7422,7432,7442,84
32,42,52,7102,7112,7122,7132,7142,7152,7162,7172,7182,7192,7202,7212,7222,7232,7242,7252,7262,7272,7282,7292,7302,7312,7322,7332,7342,7402,7412,7422,7432,7442,81
32,41,51,7102,7112,7121,7132,7142,7151,7162,7171,7181,7191,7201,7211,7222,7231,7241,7252,7261,7271,7281,7292,7301,7311,7321,7331,7341,7402,7412,7422,7431,7442,82
33,41,52,7101,7111,7121,7131,7141,7151,7161,7171,7181,7191,7201,7211,7222,7231,7241,7252,7261,7271,7281,7291,7301,7311,7321,7331,7341,7402,7412,7421,7431,7441,82
31,41,51,7101,7111,7121,7131,7141,7151,7162,7171,7181,7191,7201,7211,7221,7231,7241,7251,7261,7271,7281,7291,7301,7311,7321,7331,7341,7402,7412,7422,7432,7442,84
33,41,53,7102,7112,7122,7131,7142,7151,7162,7171,7181,7192,7202,7211,7222,7232,7242,7252,7262,7271,7282,7292,7301,7311,7321,7331,7342,7402,7411,7421,7431,7442,84
32,42,53,7102,7112,7122,7132,7141,7152,7162,7171,7181,7191,7202,7212,7222,7232,7241,7251,7261,7271,7281,7291,7302,7312,7322,7332,7342,7402,7412,7422,7432,7442,84
32,43,54,7102,7112,7122,7132,7142,7152,7162,7172,7182,7192,7202,7212,7222,7232,7242,7252,7262,7272,7282,7292,7302,7312,7322,7332,7342,7402,7412,7422,7432,7442,82
32,42,53,7102,7112,7122,7132,7142,7152,7162,7172,7182,7192,7202,7212,7222,7232,7242,7252,7262,7272,7282,7292,7302,7312,7322,7332,7342,7402,7412,7422,7432,7442,82
33,42,54,7102,7112,7121,7131,7142,7152,7162,7172,7182,7192,7202,7212,7222,7232,7242,7252,7262,7272,7282,7292,7302,7312,7322,7332,7342,7402,7412,7422,7432,7442,84
33,43,54,7102,7112,7122,7132,7141,7151,7161,7171,7181,7191,7201,7211,7222,7232,7241,7251,7261,7271,7281,7291,7302,7311,7321,7331,7342,7402,7412,7421,7431,7442,82
32,43,55,7102,7112,7121,7131,7142,7152,7162,7171,7181,7191,7202,7212,7222,7232,7242,7252,7262,7271,7282,7292,7302,7311,7322,7331,7341,7402,7412,7422,7432,7442,84
32,43,53,7102,7111,7121,7132,7142,7152,7162,7171,7182,7192,7202,7212,7221,7231,7241,7251,7261,7271,7281,7291,7302,7312,7321,7331,7342,7402,7412,7421,7431,7442,84
