"code"@"val"
"RAD_O@RAD_I-LAB_I"@0.6712328767123288
"RAD_I@RAD_O-LAB_I"@0.7205882352941176
"LAB_I@RAD_O-RAD_I"@0.7577319587628866
"RAD_O-RAD_I@LAB_I"@0.7205882352941176
"RAD_O-LAB_I@RAD_I"@0.9545454545454546
"RAD_I-LAB_I@RAD_O"@1
"RAD_O@RAD_I-LAB_O"@0.6757990867579908
"RAD_I@RAD_O-LAB_O"@0.7254901960784313
"LAB_O@RAD_O-RAD_I"@0.714975845410628
"RAD_O-RAD_I@LAB_O"@0.7254901960784313
"RAD_O-LAB_O@RAD_I"@0.9548387096774194
"RAD_I-LAB_O@RAD_O"@1
"RAD_O@RAD_I-ANE_I"@0.5707762557077626
"RAD_I@RAD_O-ANE_I"@0.6127450980392157
"ANE_I@RAD_O-RAD_I"@0.6510416666666666
"RAD_O-RAD_I@ANE_I"@0.6127450980392157
"RAD_O-ANE_I@RAD_I"@0.9398496240601504
"RAD_I-ANE_I@RAD_O"@1
"RAD_O@RAD_I-ANE_O"@0.5707762557077626
"RAD_I@RAD_O-ANE_O"@0.6127450980392157
"ANE_O@RAD_O-RAD_I"@0.6476683937823834
"RAD_O-RAD_I@ANE_O"@0.6127450980392157
"RAD_O-ANE_O@RAD_I"@0.9398496240601504
"RAD_I-ANE_O@RAD_O"@1
"RAD_O@RAD_I-OPE_I"@0.9315068493150684
"RAD_I@RAD_O-OPE_I"@1
"OPE_I@RAD_O-RAD_I"@0.6845637583892618
"RAD_O-RAD_I@OPE_I"@1
"RAD_O-OPE_I@RAD_I"@0.9315068493150684
"RAD_I-OPE_I@RAD_O"@1
"RAD_O@RAD_I-OPE_O"@0.3242009132420091
"RAD_I@RAD_O-OPE_O"@0.3480392156862745
"OPE_O@RAD_O-RAD_I"@0.797752808988764
"RAD_O-RAD_I@OPE_O"@0.3480392156862745
"RAD_O-OPE_O@RAD_I"@0.9594594594594594
"RAD_I-OPE_O@RAD_O"@1
"RAD_O@LAB_I-LAB_O"@0.7031963470319634
"LAB_I@RAD_O-LAB_O"@0.7938144329896907
"LAB_O@RAD_O-LAB_I"@0.7439613526570048
"RAD_O-LAB_I@LAB_O"@1
"RAD_O-LAB_O@LAB_I"@0.9935483870967742
"LAB_I-LAB_O@RAD_O"@0.7938144329896907
"RAD_O@LAB_I-ANE_I"@0.5662100456621004
"LAB_I@RAD_O-ANE_I"@0.6391752577319587
"ANE_I@RAD_O-LAB_I"@0.6458333333333334
"RAD_O-LAB_I@ANE_I"@0.8051948051948052
"RAD_O-ANE_I@LAB_I"@0.9323308270676691
"LAB_I-ANE_I@RAD_O"@0.7948717948717948
"RAD_O@LAB_I-ANE_O"@0.5662100456621004
"LAB_I@RAD_O-ANE_O"@0.6391752577319587
"ANE_O@RAD_O-LAB_I"@0.6424870466321243
"RAD_O-LAB_I@ANE_O"@0.8051948051948052
"RAD_O-ANE_O@LAB_I"@0.9323308270676691
"LAB_I-ANE_O@RAD_O"@0.7898089171974523
"RAD_O@LAB_I-OPE_I"@0.7031963470319634
"LAB_I@RAD_O-OPE_I"@0.7938144329896907
"OPE_I@RAD_O-LAB_I"@0.5167785234899329
"RAD_O-LAB_I@OPE_I"@1
"RAD_O-OPE_I@LAB_I"@0.7031963470319634
"LAB_I-OPE_I@RAD_O"@0.7938144329896907
"RAD_O@LAB_O-ANE_I"@0.5662100456621004
"LAB_O@RAD_O-ANE_I"@0.5990338164251208
"ANE_I@RAD_O-LAB_O"@0.6458333333333334
"RAD_O-LAB_O@ANE_I"@0.8
"RAD_O-ANE_I@LAB_O"@0.9323308270676691
"LAB_O-ANE_I@RAD_O"@0.7380952380952381
"RAD_O@LAB_O-ANE_O"@0.5662100456621004
"LAB_O@RAD_O-ANE_O"@0.5990338164251208
"ANE_O@RAD_O-LAB_O"@0.6424870466321243
"RAD_O-LAB_O@ANE_O"@0.8
"RAD_O-ANE_O@LAB_O"@0.9323308270676691
"LAB_O-ANE_O@RAD_O"@0.7337278106508875
"RAD_O@LAB_O-OPE_I"@0.7077625570776256
"LAB_O@RAD_O-OPE_I"@0.748792270531401
"OPE_I@RAD_O-LAB_O"@0.5201342281879194
"RAD_O-LAB_O@OPE_I"@1
"RAD_O-OPE_I@LAB_O"@0.7077625570776256
"LAB_O-OPE_I@RAD_O"@0.748792270531401
"RAD_O@ANE_I-ANE_O"@0.6073059360730594
"ANE_I@RAD_O-ANE_O"@0.6927083333333334
