"code"@"val"
"RAD_O@"@1
"RAD_I@"@1
"LAB_I@"@1
"LAB_O@"@1
"ANE_I@"@1
"ANE_O@"@1
"OPE_I@"@1
"OPE_O@"@1
"ORP_O@"@1
"ADM_I@"@1
"ADM_O@"@1
